vector_count	dimension	vector_workload	filter_workload	selectivity	nlists	k	target_recall	method	runs	seeds	recall_min	recall_mean	recall_max	p50_min_ms	p50_median_ms	p50_max_ms	p95_min_ms	p95_median_ms	p95_max_ms	candidates_scored_mean	lists_probed_mean	oracle_wins	planner_regret_median	planner_regret_max	claim_passed	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier_median	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
10000	128	clustered	correlated	0.5	64	10	0.95	filter_aware	1	51	0.981	0.981	0.981	0.063041	0.063041	0.063041	0.071667	0.071667	0.071667	1651.14	16.0	0	0.9347822542513818	0.9347822542513818	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.5	64	10	0.95	filter_aware_bound	1	51	0.997	0.997	0.997	0.058042	0.058042	0.058042	0.06725	0.06725	0.06725	1442.72	16.0	0	0.9347822542513818	0.9347822542513818	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.5	64	10	0.95	ivf_postfilter	1	51	0.9840000000000001	0.9840000000000001	0.9840000000000001	0.093708	0.093708	0.093708	0.110417	0.110417	0.110417	2545.42	16.0	0	0.9347822542513818	0.9347822542513818	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.5	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.047875	0.047875	0.047875	0.061333	0.061333	0.061333	1232.04	16.0	1	0.9347822542513818	0.9347822542513818	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	1.0	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.093208	0.093208	0.093208	0.109	0.109	0.109	2545.42	16.0	0	0.9830890642615558	0.9830890642615558	false	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	1.0	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.325417	0.325417	0.325417	0.400417	0.400417	0.400417	10000.0	0.0	0	0.9830890642615558	0.9830890642615558	false	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	1.0	64	10	0.95	filter_aware	1	51	1.0	1.0	1.0	0.092834	0.092834	0.092834	0.11225	0.11225	0.11225	2545.42	16.0	0	0.9830890642615558	0.9830890642615558	false	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	1.0	64	10	0.95	filter_aware_bound	1	51	1.0	1.0	1.0	0.111208	0.111208	0.111208	0.129541	0.129541	0.129541	2972.96	16.0	0	0.9830890642615558	0.9830890642615558	false	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	1.0	64	10	0.95	ivf_postfilter	1	51	1.0	1.0	1.0	0.09475	0.09475	0.09475	0.115625	0.115625	0.115625	2545.42	16.0	0	0.9830890642615558	0.9830890642615558	false	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	1.0	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.091375	0.091375	0.091375	0.110875	0.110875	0.110875	2545.42	16.0	1	0.9830890642615558	0.9830890642615558	false	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.001	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.003375	0.003375	0.003375	0.003625	0.003625	0.003625	10.0	0.0	0	2.8057275541795668	2.8057275541795668	true	8.0	16.0	4.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.001	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.001125	0.001125	0.001125	0.001292	0.001292	0.001292	10.0	0.0	1	2.8057275541795668	2.8057275541795668	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.001	64	10	0.95	filter_aware	1	51	1.0	1.0	1.0	0.007416	0.007416	0.007416	0.00825	0.00825	0.00825	10.0	64.0	0	2.8057275541795668	2.8057275541795668	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.001	64	10	0.95	filter_aware_bound	1	51	1.0	1.0	1.0	0.004458	0.004458	0.004458	0.004625	0.004625	0.004625	10.0	10.0	0	2.8057275541795668	2.8057275541795668	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.001	64	10	0.95	ivf_postfilter	1	51	1.0	1.0	1.0	0.821792	0.821792	0.821792	0.947209	0.947209	0.947209	10000.0	64.0	0	2.8057275541795668	2.8057275541795668	true	8.0	16.0	4.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.001	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.00525	0.00525	0.00525	0.00575	0.00575	0.00575	10.0	64.0	0	2.8057275541795668	2.8057275541795668	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.01	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.007708	0.007708	0.007708	0.008833	0.008833	0.008833	100.0	0.0	0	1.6957189479746593	1.6957189479746593	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.01	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.004375	0.004375	0.004375	0.005209	0.005209	0.005209	100.0	0.0	1	1.6957189479746593	1.6957189479746593	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.01	64	10	0.95	filter_aware	1	51	1.0	1.0	1.0	0.014875	0.014875	0.014875	0.016875	0.016875	0.016875	100.0	64.0	0	1.6957189479746593	1.6957189479746593	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.01	64	10	0.95	filter_aware_bound	1	51	1.0	1.0	1.0	0.013125	0.013125	0.013125	0.014666	0.014666	0.014666	100.0	47.0	0	1.6957189479746593	1.6957189479746593	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.01	64	10	0.95	ivf_postfilter	1	51	1.0	1.0	1.0	0.732875	0.732875	0.732875	0.842417	0.842417	0.842417	10000.0	64.0	0	1.6957189479746593	1.6957189479746593	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.01	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.011959	0.011959	0.011959	0.014042	0.014042	0.014042	100.0	64.0	0	1.6957189479746593	1.6957189479746593	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.05	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.022417	0.022417	0.022417	0.024209	0.024209	0.024209	500.0	0.0	0	1.1347614137058217	1.1347614137058217	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.05	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.019416	0.019416	0.019416	0.021334	0.021334	0.021334	500.0	0.0	1	1.1347614137058217	1.1347614137058217	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.05	64	10	0.95	filter_aware	1	51	1.0	1.0	1.0	0.030625	0.030625	0.030625	0.058291	0.058291	0.058291	500.0	64.0	0	1.1347614137058217	1.1347614137058217	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.05	64	10	0.95	filter_aware_bound	1	51	1.0	1.0	1.0	0.029042	0.029042	0.029042	0.030917	0.030917	0.030917	499.94	58.99	0	1.1347614137058217	1.1347614137058217	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.05	64	10	0.95	ivf_postfilter	1	51	1.0	1.0	1.0	0.423833	0.423833	0.423833	0.516292	0.516292	0.516292	10000.0	64.0	0	1.1347614137058217	1.1347614137058217	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.05	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.025333	0.025333	0.025333	0.027834	0.027834	0.027834	500.0	64.0	0	1.1347614137058217	1.1347614137058217	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.1	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.038875	0.038875	0.038875	0.042	0.042	0.042	1000.0	0.0	0	1.076923076923077	1.076923076923077	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.1	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.035792	0.035792	0.035792	0.039	0.039	0.039	1000.0	0.0	1	1.076923076923077	1.076923076923077	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.1	64	10	0.95	filter_aware	1	51	1.0	1.0	1.0	0.044375	0.044375	0.044375	0.047875	0.047875	0.047875	1000.0	64.0	0	1.076923076923077	1.076923076923077	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.1	64	10	0.95	filter_aware_bound	1	51	1.0	1.0	1.0	0.046167	0.046167	0.046167	0.053125	0.053125	0.053125	998.31	61.64	0	1.076923076923077	1.076923076923077	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.1	64	10	0.95	ivf_postfilter	1	51	1.0	1.0	1.0	0.378666	0.378666	0.378666	0.401	0.401	0.401	10000.0	64.0	0	1.076923076923077	1.076923076923077	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	random	0.1	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.040625	0.040625	0.040625	0.04375	0.04375	0.04375	1000.0	64.0	0	1.076923076923077	1.076923076923077	true	8.0	16.0	0.0	2.0	0.5	0.5	4
